@RELATION pacman-data-training

	 @ATTRIBUTE pacman-x NUMERIC
	 @ATTRIBUTE pacman-y NUMERIC
	 @ATTRIBUTE ghost-x NUMERIC
	 @ATTRIBUTE ghost-y NUMERIC
	 @ATTRIBUTE ghost-distance NUMERIC
	 @ATTRIBUTE north-legal {True,False}
	 @ATTRIBUTE south-legal {True,False}
	 @ATTRIBUTE east-legal {True,False}
	 @ATTRIBUTE west-legal {True,False}
	 @ATTRIBUTE ghost-move {North,South,East,West,Stop,None}
	 @ATTRIBUTE score NUMERIC
	 @ATTRIBUTE final-move {North,South,East,West,Stop}
	 @ATTRIBUTE next_score NUMERIC

	 @data

1,6,6,4,7,False,True,True,False,None,0,Stop,-1
1,5,6,4,6,True,True,False,False,Stop,-1,South,-2
1,4,6,4,5,True,True,True,False,Stop,-2,South,-3
2,4,6,4,4,False,True,True,True,Stop,-3,East,-4
3,4,6,4,3,False,True,True,True,Stop,-4,East,-5
4,4,6,4,2,False,True,True,True,Stop,-5,East,-6
5,4,6,4,1,False,True,True,True,Stop,-6,East,193
6,4,8,6,4,False,True,True,True,Stop,193,East,192
7,4,8,6,3,True,True,True,True,Stop,192,East,191
7,5,8,6,2,True,True,False,False,Stop,191,North,190
7,6,8,6,1,False,True,True,True,Stop,190,North,389
8,6,11,3,6,False,False,True,True,Stop,389,East,388
7,6,11,3,7,False,True,True,True,Stop,388,West,387
7,5,11,3,6,True,True,False,False,Stop,387,South,386
7,4,11,3,5,True,True,True,True,Stop,386,South,385
8,4,11,3,4,False,True,True,True,Stop,385,East,384
9,4,11,3,3,False,True,True,True,Stop,384,East,383
10,4,11,3,2,False,True,True,True,Stop,383,East,382
11,4,11,3,1,False,True,True,True,Stop,382,East,581
11,3,16,6,8,True,False,True,True,Stop,581,South,580
12,3,16,6,7,True,False,True,True,Stop,580,East,579
12,4,16,6,6,False,True,True,True,Stop,579,North,578
13,4,16,6,5,False,True,True,True,Stop,578,East,577
14,4,16,6,4,True,True,True,True,Stop,577,East,576
15,4,16,6,3,False,True,True,True,Stop,576,East,575
16,4,16,6,2,True,True,True,True,Stop,575,East,574
16,5,16,6,1,True,True,False,False,Stop,574,North,0
1,6,6,4,7,False,True,True,False,None,0,Stop,-1
1,5,5,4,5,True,True,False,False,West,-1,South,-2
1,4,5,3,5,True,True,True,False,South,-2,South,-3
2,4,5,3,4,False,True,True,True,South,-3,East,-4
3,4,5,3,3,False,True,True,True,South,-4,East,-5
4,4,4,3,1,False,True,True,True,West,-5,East,194
4,3,11,3,7,True,False,True,True,West,194,South,193
5,3,10,3,5,True,False,True,True,West,193,East,192
6,3,11,3,5,True,False,True,True,East,192,East,191
7,3,8,6,4,True,False,True,True,West,191,East,190
7,4,9,6,4,True,True,True,True,East,190,North,189
7,5,10,6,4,True,True,False,False,East,189,North,188
7,6,10,6,3,False,True,True,True,East,188,North,187
8,6,10,6,2,False,False,True,True,East,187,East,186
9,6,11,6,2,False,False,True,True,East,186,East,185
10,6,12,6,2,False,False,True,True,East,185,East,184
11,6,12,6,1,False,False,True,True,East,184,East,383
12,6,11,3,4,False,False,True,True,South,383,East,382
13,6,11,4,4,False,False,True,True,North,382,East,381
14,6,17,4,4,False,True,True,True,West,381,East,380
15,6,16,4,4,False,False,True,True,South,380,East,379
16,6,16,3,3,False,True,True,True,South,379,East,378
16,5,16,3,3,True,True,False,False,East,378,South,377
16,4,17,3,3,True,True,True,True,East,377,South,376
17,4,18,3,2,False,True,True,True,East,376,East,375
18,4,18,3,2,True,True,False,True,West,375,East,374
18,3,17,3,2,True,False,False,True,North,374,South,573
17,3,7,5,12,True,False,True,True,North,573,West,572
16,3,7,5,11,True,False,True,True,North,572,West,571
15,3,7,4,9,True,False,True,True,South,571,West,570
15,4,7,3,9,False,True,True,True,South,570,North,569
14,4,7,3,8,True,True,True,True,South,569,West,568
13,4,6,3,8,False,True,True,True,West,568,West,567
12,4,7,3,6,False,True,True,True,East,567,West,566
11,4,6,3,6,False,True,True,True,West,566,West,565
10,4,7,3,4,False,True,True,True,East,565,West,564
9,4,6,3,4,False,True,True,True,West,564,West,563
8,4,7,3,2,False,True,True,True,East,563,West,562
7,4,8,3,2,True,True,True,True,East,562,West,0
1,18,5,9,13,False,True,True,False,None,0,Stop,-1
1,17,5,10,11,True,True,False,False,North,-1,South,-2
1,16,5,9,11,True,True,True,False,South,-2,South,-3
1,15,5,8,11,True,True,True,False,South,-3,South,-4
1,14,5,9,9,True,True,True,False,North,-4,South,-5
1,13,5,8,9,True,True,False,False,South,-5,South,-6
1,12,5,8,8,True,True,True,False,South,-6,South,-7
1,11,5,8,7,True,True,False,False,South,-7,South,-8
1,10,5,9,5,True,True,False,False,North,-8,South,-9
1,9,5,10,5,True,True,False,False,North,-9,South,-10
1,8,5,9,5,True,True,False,False,South,-10,South,-11
1,7,5,8,5,True,True,False,False,South,-11,South,-12
1,6,5,9,7,True,True,True,False,North,-12,South,-13
2,6,6,9,7,False,True,True,True,East,-13,East,-14
